name,artist_count,track_id,popularity,year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The 1st of the 13th month,1,3TGj4dcHrdB7rpCzGntFC8,49,2022,0,0.535,0.581,2,-7.934,1,0.0311,0.0428,0,0.106,0.705,146.122,audio_features,3TGj4dcHrdB7rpCzGntFC8,spotify:track:3TGj4dcHrdB7rpCzGntFC8,https://api.spotify.com/v1/tracks/3TGj4dcHrdB7rpCzGntFC8,https://api.spotify.com/v1/audio-analysis/3TGj4dcHrdB7rpCzGntFC8,171597,4
1 month pa lang,1,473BDTghogeKhUgKZrkhiT,32,2022,0,0.78,0.0867,2,-19.365,1,0.097,0.929,7.42e-05,0.108,0.276,120.166,audio_features,473BDTghogeKhUgKZrkhiT,spotify:track:473BDTghogeKhUgKZrkhiT,https://api.spotify.com/v1/tracks/473BDTghogeKhUgKZrkhiT,https://api.spotify.com/v1/audio-analysis/473BDTghogeKhUgKZrkhiT,143014,4
Scary Swings,1,67mZz3MSDctU95K8uXYCRG,41,2022,0,0.487,0.798,10,-10.404,0,0.0376,0.000101,0.675,0.0589,0.745,95.057,audio_features,67mZz3MSDctU95K8uXYCRG,spotify:track:67mZz3MSDctU95K8uXYCRG,https://api.spotify.com/v1/tracks/67mZz3MSDctU95K8uXYCRG,https://api.spotify.com/v1/audio-analysis/67mZz3MSDctU95K8uXYCRG,183093,4
Lychee,1,5TjpTCURPfKV8xGzjQgbbU,25,2022,0,0.543,0.121,0,-15.905,1,0.0413,0.597,0.11,0.0808,0.13,80.368,audio_features,5TjpTCURPfKV8xGzjQgbbU,spotify:track:5TjpTCURPfKV8xGzjQgbbU,https://api.spotify.com/v1/tracks/5TjpTCURPfKV8xGzjQgbbU,https://api.spotify.com/v1/audio-analysis/5TjpTCURPfKV8xGzjQgbbU,66062,4
1st Of The Month,1,4bipPcRbVEv1kjqP5GpvV1,15,2022,0,0.678,0.685,1,-4.254,1,0.105,0.00304,0,0.364,0.197,138.843,audio_features,4bipPcRbVEv1kjqP5GpvV1,spotify:track:4bipPcRbVEv1kjqP5GpvV1,https://api.spotify.com/v1/tracks/4bipPcRbVEv1kjqP5GpvV1,https://api.spotify.com/v1/audio-analysis/4bipPcRbVEv1kjqP5GpvV1,162051,4
Take a Ride,1,4Re0jrJkwqTRNKDQLW4wcO,15,2022,1,0.765,0.65,1,-8.312,0,0.197,0.0434,0.356,0.132,0.639,157.911,audio_features,4Re0jrJkwqTRNKDQLW4wcO,spotify:track:4Re0jrJkwqTRNKDQLW4wcO,https://api.spotify.com/v1/tracks/4Re0jrJkwqTRNKDQLW4wcO,https://api.spotify.com/v1/audio-analysis/4Re0jrJkwqTRNKDQLW4wcO,97297,4
Doushite,2,3OHQVPFfClNNsOFze5TyvK,27,2022,0,0.607,0.708,11,-6.81,1,0.0518,0.319,0,0.0718,0.439,149.954,audio_features,3OHQVPFfClNNsOFze5TyvK,spotify:track:3OHQVPFfClNNsOFze5TyvK,https://api.spotify.com/v1/tracks/3OHQVPFfClNNsOFze5TyvK,https://api.spotify.com/v1/audio-analysis/3OHQVPFfClNNsOFze5TyvK,181133,4
Another Month,1,1G4MmUXIghKJXkYsUbKkQJ,17,2022,0,0.794,0.178,5,-19.849,1,0.0756,0.00145,0.942,0.0927,0.592,135.026,audio_features,1G4MmUXIghKJXkYsUbKkQJ,spotify:track:1G4MmUXIghKJXkYsUbKkQJ,https://api.spotify.com/v1/tracks/1G4MmUXIghKJXkYsUbKkQJ,https://api.spotify.com/v1/audio-analysis/1G4MmUXIghKJXkYsUbKkQJ,142686,3
Friendly Nightmares,1,78C90dtekQoUhh4epEV1ld,29,2022,0,0.7,0.363,2,-14.673,1,0.0443,0.763,0.903,0.439,0.0767,140.083,audio_features,78C90dtekQoUhh4epEV1ld,spotify:track:78C90dtekQoUhh4epEV1ld,https://api.spotify.com/v1/tracks/78C90dtekQoUhh4epEV1ld,https://api.spotify.com/v1/audio-analysis/78C90dtekQoUhh4epEV1ld,168355,4
The Attic Atrocity,1,6NQnagcTfRCG0gZuZg6SoE,29,2022,0,0.617,0.713,5,-8.744,0,0.107,0.0014,0.814,0.092,0.89,130.049,audio_features,6NQnagcTfRCG0gZuZg6SoE,spotify:track:6NQnagcTfRCG0gZuZg6SoE,https://api.spotify.com/v1/tracks/6NQnagcTfRCG0gZuZg6SoE,https://api.spotify.com/v1/audio-analysis/6NQnagcTfRCG0gZuZg6SoE,258946,4
The 1st of the 13th month,1,2TgikqWC5DnBOG4i4voigu,25,2022,0,0.535,0.581,2,-7.934,1,0.0311,0.0428,0,0.106,0.705,146.122,audio_features,2TgikqWC5DnBOG4i4voigu,spotify:track:2TgikqWC5DnBOG4i4voigu,https://api.spotify.com/v1/tracks/2TgikqWC5DnBOG4i4voigu,https://api.spotify.com/v1/audio-analysis/2TgikqWC5DnBOG4i4voigu,171597,4
Hatzgang,1,0yhvlc9CLppAyF5vA4gVxx,27,2022,0,0.822,0.352,0,-15.44,0,0.138,0.0608,0.107,0.0539,0.506,116.014,audio_features,0yhvlc9CLppAyF5vA4gVxx,spotify:track:0yhvlc9CLppAyF5vA4gVxx,https://api.spotify.com/v1/tracks/0yhvlc9CLppAyF5vA4gVxx,https://api.spotify.com/v1/audio-analysis/0yhvlc9CLppAyF5vA4gVxx,126179,4
Jewish Month song,1,6jVy4xmxRXXXG7NKWORxiH,13,2022,0,0.634,0.595,0,-8.759,1,0.0793,0.334,0,0.57,0.802,118.404,audio_features,6jVy4xmxRXXXG7NKWORxiH,spotify:track:6jVy4xmxRXXXG7NKWORxiH,https://api.spotify.com/v1/tracks/6jVy4xmxRXXXG7NKWORxiH,https://api.spotify.com/v1/audio-analysis/6jVy4xmxRXXXG7NKWORxiH,227004,4
Less Kiss,1,6uBs5b437BtvJmVh2yi1RE,30,2022,0,0.617,0.639,10,-8.448,0,0.0524,0.029,0,0.199,0.53,149.953,audio_features,6uBs5b437BtvJmVh2yi1RE,spotify:track:6uBs5b437BtvJmVh2yi1RE,https://api.spotify.com/v1/tracks/6uBs5b437BtvJmVh2yi1RE,https://api.spotify.com/v1/audio-analysis/6uBs5b437BtvJmVh2yi1RE,192209,4
Sweet & Sour,1,7CkWeUPoYeOB2eOgVXzOQq,25,2022,0,0.813,0.384,4,-13.812,1,0.083,0.909,0.883,0.107,0.958,106.037,audio_features,7CkWeUPoYeOB2eOgVXzOQq,spotify:track:7CkWeUPoYeOB2eOgVXzOQq,https://api.spotify.com/v1/tracks/7CkWeUPoYeOB2eOgVXzOQq,https://api.spotify.com/v1/audio-analysis/7CkWeUPoYeOB2eOgVXzOQq,84783,4
Troublesome Toys,1,2B5CtwRsdhIZLSWONaI5Oo,24,2022,0,0.437,0.483,0,-15.721,1,0.039,0.0803,0.00581,0.121,0.0448,79.993,audio_features,2B5CtwRsdhIZLSWONaI5Oo,spotify:track:2B5CtwRsdhIZLSWONaI5Oo,https://api.spotify.com/v1/tracks/2B5CtwRsdhIZLSWONaI5Oo,https://api.spotify.com/v1/audio-analysis/2B5CtwRsdhIZLSWONaI5Oo,165957,4
Friends 'n' Fear,1,7i4VxQrY1Bpda2b7693ZjW,23,2022,0,0.518,0.726,7,-12.001,1,0.04,0.00165,0.767,0.217,0.501,95.083,audio_features,7i4VxQrY1Bpda2b7693ZjW,spotify:track:7i4VxQrY1Bpda2b7693ZjW,https://api.spotify.com/v1/tracks/7i4VxQrY1Bpda2b7693ZjW,https://api.spotify.com/v1/audio-analysis/7i4VxQrY1Bpda2b7693ZjW,182895,4
Tomorrow,1,3jy6mq6U7ZkAQ232NZFeke,23,2022,0,0.344,0.577,5,-11.905,0,0.0348,0.00828,0.908,0.342,0.653,82.224,audio_features,3jy6mq6U7ZkAQ232NZFeke,spotify:track:3jy6mq6U7ZkAQ232NZFeke,https://api.spotify.com/v1/tracks/3jy6mq6U7ZkAQ232NZFeke,https://api.spotify.com/v1/audio-analysis/3jy6mq6U7ZkAQ232NZFeke,100000,4
Five Month Skin,1,4xfSTM8HOjpBkDYlxKTEkI,12,2022,0,0.691,0.576,2,-8.105,1,0.0955,0.616,0.0022,0.106,0.437,128.044,audio_features,4xfSTM8HOjpBkDYlxKTEkI,spotify:track:4xfSTM8HOjpBkDYlxKTEkI,https://api.spotify.com/v1/tracks/4xfSTM8HOjpBkDYlxKTEkI,https://api.spotify.com/v1/audio-analysis/4xfSTM8HOjpBkDYlxKTEkI,258760,4
The Smiley Fella,1,0bYwnEtaQD1qtkxygyM7KU,22,2022,0,0.267,0.666,9,-9.997,0,0.0363,0.266,0.738,0.206,0.165,169.886,audio_features,0bYwnEtaQD1qtkxygyM7KU,spotify:track:0bYwnEtaQD1qtkxygyM7KU,https://api.spotify.com/v1/tracks/0bYwnEtaQD1qtkxygyM7KU,https://api.spotify.com/v1/audio-analysis/0bYwnEtaQD1qtkxygyM7KU,242556,1
Thieves 'n' Tricks,1,0SfYuicwSR3OBKQL5ZCww5,25,2022,0,0.8,0.416,8,-19.077,1,0.206,0.453,0.944,0.0983,0.762,75.999,audio_features,0SfYuicwSR3OBKQL5ZCww5,spotify:track:0SfYuicwSR3OBKQL5ZCww5,https://api.spotify.com/v1/tracks/0SfYuicwSR3OBKQL5ZCww5,https://api.spotify.com/v1/audio-analysis/0SfYuicwSR3OBKQL5ZCww5,162127,4
Scary Swingsmas,1,72UeaoOl79IR3w1tRvBQtT,21,2022,0,0.473,0.713,8,-11.015,1,0.0296,0.00357,0.739,0.0972,0.445,95.036,audio_features,72UeaoOl79IR3w1tRvBQtT,spotify:track:72UeaoOl79IR3w1tRvBQtT,https://api.spotify.com/v1/tracks/72UeaoOl79IR3w1tRvBQtT,https://api.spotify.com/v1/audio-analysis/72UeaoOl79IR3w1tRvBQtT,183363,4
The Eyes of the Universe,1,320MSTcZBrAIhCdwy5cs3b,21,2022,0,0.202,0.309,5,-20.491,1,0.0342,0.857,0.904,0.0955,0.0722,79.898,audio_features,320MSTcZBrAIhCdwy5cs3b,spotify:track:320MSTcZBrAIhCdwy5cs3b,https://api.spotify.com/v1/tracks/320MSTcZBrAIhCdwy5cs3b,https://api.spotify.com/v1/audio-analysis/320MSTcZBrAIhCdwy5cs3b,68654,1
8 months in my head,2,2jZ6t6gQhH2sJLMgi4di3A,7,2022,0,0.423,0.7,8,-5.531,1,0.139,0.00316,0.000121,0.19,0.487,184.017,audio_features,2jZ6t6gQhH2sJLMgi4di3A,spotify:track:2jZ6t6gQhH2sJLMgi4di3A,https://api.spotify.com/v1/tracks/2jZ6t6gQhH2sJLMgi4di3A,https://api.spotify.com/v1/audio-analysis/2jZ6t6gQhH2sJLMgi4di3A,184500,4
12 Months of the Year,1,3wVwue3MGnLUg7zqQqEHQq,7,2022,0,0.852,0.721,11,-6.725,0,0.0456,0.00629,0,0.219,0.748,119.995,audio_features,3wVwue3MGnLUg7zqQqEHQq,spotify:track:3wVwue3MGnLUg7zqQqEHQq,https://api.spotify.com/v1/tracks/3wVwue3MGnLUg7zqQqEHQq,https://api.spotify.com/v1/audio-analysis/3wVwue3MGnLUg7zqQqEHQq,316108,4
The Thrill,1,3r5aaBTGljS0DFVjnVY7rB,20,2022,0,0.673,0.885,1,-13.69,1,0.0482,0.0175,0.84,0.0915,0.167,117.983,audio_features,3r5aaBTGljS0DFVjnVY7rB,spotify:track:3r5aaBTGljS0DFVjnVY7rB,https://api.spotify.com/v1/tracks/3r5aaBTGljS0DFVjnVY7rB,https://api.spotify.com/v1/audio-analysis/3r5aaBTGljS0DFVjnVY7rB,45658,4
