name,artist_count,track_id,popularity,year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
100months_,1,1CNNvEGK5dVFQ6wHDLWNBm,46,2023,1,0.686,0.489,9,-10.655,0,0.297,0.172,0.0018,0.139,0.361,138.992,audio_features,1CNNvEGK5dVFQ6wHDLWNBm,spotify:track:1CNNvEGK5dVFQ6wHDLWNBm,https://api.spotify.com/v1/tracks/1CNNvEGK5dVFQ6wHDLWNBm,https://api.spotify.com/v1/audio-analysis/1CNNvEGK5dVFQ6wHDLWNBm,139888,3
3 Month Run (feat. Swerv),2,0J9iAcsYtq5litSLicaovj,22,2023,1,0.659,0.768,1,-5.512,1,0.237,0.0119,0,0.171,0.452,133.164,audio_features,0J9iAcsYtq5litSLicaovj,spotify:track:0J9iAcsYtq5litSLicaovj,https://api.spotify.com/v1/tracks/0J9iAcsYtq5litSLicaovj,https://api.spotify.com/v1/audio-analysis/0J9iAcsYtq5litSLicaovj,102531,4
12 Months,1,3Ht0iIKjSyKDAEB9ezX6BS,19,2023,0,0.671,0.587,5,-8.834,0,0.0641,0.196,1.35e-06,0.125,0.33,160.069,audio_features,3Ht0iIKjSyKDAEB9ezX6BS,spotify:track:3Ht0iIKjSyKDAEB9ezX6BS,https://api.spotify.com/v1/tracks/3Ht0iIKjSyKDAEB9ezX6BS,https://api.spotify.com/v1/audio-analysis/3Ht0iIKjSyKDAEB9ezX6BS,98566,4
100months_,1,7jbjfnCaAMpHv6uFz1F3wQ,38,2023,1,0.686,0.489,9,-10.655,0,0.297,0.172,0.0018,0.139,0.361,138.992,audio_features,7jbjfnCaAMpHv6uFz1F3wQ,spotify:track:7jbjfnCaAMpHv6uFz1F3wQ,https://api.spotify.com/v1/tracks/7jbjfnCaAMpHv6uFz1F3wQ,https://api.spotify.com/v1/audio-analysis/7jbjfnCaAMpHv6uFz1F3wQ,139888,3
10months,1,2iN4KDcn1xF2YJtqZBH3R0,20,2023,0,0.317,0.284,2,-9.824,0,0.0316,0.781,3.77e-05,0.146,0.114,139.824,audio_features,2iN4KDcn1xF2YJtqZBH3R0,spotify:track:2iN4KDcn1xF2YJtqZBH3R0,https://api.spotify.com/v1/tracks/2iN4KDcn1xF2YJtqZBH3R0,https://api.spotify.com/v1/audio-analysis/2iN4KDcn1xF2YJtqZBH3R0,223024,3
108 Months,1,6tiz8A6s18SSdWNZzWSAR5,11,2023,1,0.602,0.586,0,-8.028,0,0.171,0.459,0,0.106,0.438,137.665,audio_features,6tiz8A6s18SSdWNZzWSAR5,spotify:track:6tiz8A6s18SSdWNZzWSAR5,https://api.spotify.com/v1/tracks/6tiz8A6s18SSdWNZzWSAR5,https://api.spotify.com/v1/audio-analysis/6tiz8A6s18SSdWNZzWSAR5,118320,4
108 Months,1,3AdR39fBB7oHRpHgsmpPq5,12,2023,1,0.602,0.586,0,-8.028,0,0.171,0.459,0,0.106,0.438,137.665,audio_features,3AdR39fBB7oHRpHgsmpPq5,spotify:track:3AdR39fBB7oHRpHgsmpPq5,https://api.spotify.com/v1/tracks/3AdR39fBB7oHRpHgsmpPq5,https://api.spotify.com/v1/audio-analysis/3AdR39fBB7oHRpHgsmpPq5,118320,4
11 Months,1,4RLXSr0WjEOrGv4uikJRrU,12,2023,1,0.765,0.685,1,-12.029,1,0.32,0.619,0,0.118,0.58,139.897,audio_features,4RLXSr0WjEOrGv4uikJRrU,spotify:track:4RLXSr0WjEOrGv4uikJRrU,https://api.spotify.com/v1/tracks/4RLXSr0WjEOrGv4uikJRrU,https://api.spotify.com/v1/audio-analysis/4RLXSr0WjEOrGv4uikJRrU,192103,4
12 Months,1,0k1U6em3HX7aIMigPQcMU1,15,2023,0,0.658,0.697,1,-15.059,1,0.0425,0.0143,0.871,0.0948,0.511,119.884,audio_features,0k1U6em3HX7aIMigPQcMU1,spotify:track:0k1U6em3HX7aIMigPQcMU1,https://api.spotify.com/v1/tracks/0k1U6em3HX7aIMigPQcMU1,https://api.spotify.com/v1/audio-analysis/0k1U6em3HX7aIMigPQcMU1,73340,4
15 Months,1,3dWj9vkJLHpK0JYHMw66cn,11,2023,0,0.398,0.424,2,-10.248,1,0.0337,0.822,0.000997,0.0911,0.295,83.475,audio_features,3dWj9vkJLHpK0JYHMw66cn,spotify:track:3dWj9vkJLHpK0JYHMw66cn,https://api.spotify.com/v1/tracks/3dWj9vkJLHpK0JYHMw66cn,https://api.spotify.com/v1/audio-analysis/3dWj9vkJLHpK0JYHMw66cn,267908,4
