name,artist_count,track_id,popularity,year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
What I'm Gone Do,2,7LY9zoKNlHjDIf3CRUoZ32,0,2024,1,0.759,0.454,0,-12.465,0,0.0658,0.14,0,0.735,0.431,89.005,audio_features,7LY9zoKNlHjDIf3CRUoZ32,spotify:track:7LY9zoKNlHjDIf3CRUoZ32,https://api.spotify.com/v1/tracks/7LY9zoKNlHjDIf3CRUoZ32,https://api.spotify.com/v1/audio-analysis/7LY9zoKNlHjDIf3CRUoZ32,130125,4
Let Me Bite,2,2NndLybV3mb7KlWAemA5At,0,2024,1,0.791,0.542,8,-5.856,1,0.233,0.00665,0,0.124,0.283,88.499,audio_features,2NndLybV3mb7KlWAemA5At,spotify:track:2NndLybV3mb7KlWAemA5At,https://api.spotify.com/v1/tracks/2NndLybV3mb7KlWAemA5At,https://api.spotify.com/v1/audio-analysis/2NndLybV3mb7KlWAemA5At,107973,4
Running Out,2,4ZJOtMIdDZyIQ8AJRE2vUZ,0,2024,1,0.68,0.551,7,-9.981,1,0.177,0.0232,0,0.137,0.144,92.181,audio_features,4ZJOtMIdDZyIQ8AJRE2vUZ,spotify:track:4ZJOtMIdDZyIQ8AJRE2vUZ,https://api.spotify.com/v1/tracks/4ZJOtMIdDZyIQ8AJRE2vUZ,https://api.spotify.com/v1/audio-analysis/4ZJOtMIdDZyIQ8AJRE2vUZ,95225,4
Precise 903 Beverage 997 Reopen 55 Monthly 72 Nitrogen 107 Loaf,1,2b1rmINBg3qQbgRAXAxhl8,0,2024,0,0.516,0.251,10,-9.561,0,0.0283,0.418,0.108,0.101,0.262,66.022,audio_features,2b1rmINBg3qQbgRAXAxhl8,spotify:track:2b1rmINBg3qQbgRAXAxhl8,https://api.spotify.com/v1/tracks/2b1rmINBg3qQbgRAXAxhl8,https://api.spotify.com/v1/audio-analysis/2b1rmINBg3qQbgRAXAxhl8,120765,3
"Italian Lesson with Calming Tropical Beach Ambience: Learn Italian Days and Months, Pt. 7",1,532we3zBMB9oHxHTVQ18cN,0,2024,0,0.617,0.403,11,-11.735,0,0.743,0.896,0,0.379,0.211,78.569,audio_features,532we3zBMB9oHxHTVQ18cN,spotify:track:532we3zBMB9oHxHTVQ18cN,https://api.spotify.com/v1/tracks/532we3zBMB9oHxHTVQ18cN,https://api.spotify.com/v1/audio-analysis/532we3zBMB9oHxHTVQ18cN,72435,3
8 Months,1,0iUmT3cxY6FppgcOvZRuSE,2,2024,0,0.712,0.378,9,-9.479,1,0.0839,0.0839,0.802,0.102,0.319,171.929,audio_features,0iUmT3cxY6FppgcOvZRuSE,spotify:track:0iUmT3cxY6FppgcOvZRuSE,https://api.spotify.com/v1/tracks/0iUmT3cxY6FppgcOvZRuSE,https://api.spotify.com/v1/audio-analysis/0iUmT3cxY6FppgcOvZRuSE,134348,3
8 Months,1,66bIFtpZBLzDW4Hsb5YHyA,0,2024,1,0.442,0.713,5,-11.498,1,0.0814,0.153,5.45e-06,0.567,0.742,96.626,audio_features,66bIFtpZBLzDW4Hsb5YHyA,spotify:track:66bIFtpZBLzDW4Hsb5YHyA,https://api.spotify.com/v1/tracks/66bIFtpZBLzDW4Hsb5YHyA,https://api.spotify.com/v1/audio-analysis/66bIFtpZBLzDW4Hsb5YHyA,103000,3
140 MONTHS,2,2C0tsOdNbdw1KQINvlj3yt,0,2024,1,0.623,0.434,0,-8.915,0,0.18,0.164,0,0.498,0.28,160.126,audio_features,2C0tsOdNbdw1KQINvlj3yt,spotify:track:2C0tsOdNbdw1KQINvlj3yt,https://api.spotify.com/v1/tracks/2C0tsOdNbdw1KQINvlj3yt,https://api.spotify.com/v1/audio-analysis/2C0tsOdNbdw1KQINvlj3yt,168777,4
1ST OF DA MONTH,1,52Uq2PKqeCH7pKRRdIpBvi,1,2024,1,0.595,0.643,2,-9.496,1,0.173,0.00439,0,0.111,0.118,144.169,audio_features,52Uq2PKqeCH7pKRRdIpBvi,spotify:track:52Uq2PKqeCH7pKRRdIpBvi,https://api.spotify.com/v1/tracks/52Uq2PKqeCH7pKRRdIpBvi,https://api.spotify.com/v1/audio-analysis/52Uq2PKqeCH7pKRRdIpBvi,159984,4
"14 Years, 8 Months, 26 Days",1,2zk8r2zI5Ulj0y8HqJxKfu,30,2024,0,0.263,0.0193,0,-23.887,1,0.0612,0.963,0.965,0.11,0.128,110.595,audio_features,2zk8r2zI5Ulj0y8HqJxKfu,spotify:track:2zk8r2zI5Ulj0y8HqJxKfu,https://api.spotify.com/v1/tracks/2zk8r2zI5Ulj0y8HqJxKfu,https://api.spotify.com/v1/audio-analysis/2zk8r2zI5Ulj0y8HqJxKfu,61459,4
