name,artist_count,track_id,popularity,year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
17th 1st Month Feast of Unleavened Bread - Instrumental,1,53QFQgyOON3WWXvdr3raOa,0,2022,0,0.638,0.356,2.0,-16.014,1.0,0.0344,0.115,0.921,0.125,0.0376,129.498,audio_features,53QFQgyOON3WWXvdr3raOa,spotify:track:53QFQgyOON3WWXvdr3raOa,https://api.spotify.com/v1/tracks/53QFQgyOON3WWXvdr3raOa,https://api.spotify.com/v1/audio-analysis/53QFQgyOON3WWXvdr3raOa,326844.0,4.0
16th 1st Month Feast of Unleavened Bread - Instrumental,1,7sDCEXj7aLCu3Zenog4QUE,0,2022,0,0.609,0.373,1.0,-11.083,0.0,0.0386,0.124,0.521,0.177,0.105,142.08,audio_features,7sDCEXj7aLCu3Zenog4QUE,spotify:track:7sDCEXj7aLCu3Zenog4QUE,https://api.spotify.com/v1/tracks/7sDCEXj7aLCu3Zenog4QUE,https://api.spotify.com/v1/audio-analysis/7sDCEXj7aLCu3Zenog4QUE,276793.0,4.0
19th 1st Month Feast of Unleavened Bread - Instrumental,1,2RjBIw6KZ9U1R07D5ppwtF,0,2022,0,0.571,0.4,10.0,-13.297,0.0,0.0339,0.381,0.903,0.13,0.204,112.452,audio_features,2RjBIw6KZ9U1R07D5ppwtF,spotify:track:2RjBIw6KZ9U1R07D5ppwtF,https://api.spotify.com/v1/tracks/2RjBIw6KZ9U1R07D5ppwtF,https://api.spotify.com/v1/audio-analysis/2RjBIw6KZ9U1R07D5ppwtF,291527.0,4.0
She Was Only Six Months Old,2,2NNdU7cFugITEWCz8LgsN8,0,2022,0,0.208,0.119,9.0,-25.039,0.0,0.0429,0.915,0.917,0.0664,0.0739,114.716,audio_features,2NNdU7cFugITEWCz8LgsN8,spotify:track:2NNdU7cFugITEWCz8LgsN8,https://api.spotify.com/v1/tracks/2NNdU7cFugITEWCz8LgsN8,https://api.spotify.com/v1/audio-analysis/2NNdU7cFugITEWCz8LgsN8,164011.0,4.0
Layered Sounds Monthly Patreon Appreciation Pt.1,1,1JyDOIWo9GGj1GeksIefUo,0,2022,0,0.545,0.0222,1.0,-39.571,1.0,0.0851,0.000276,0.0745,0.0748,0.0538,91.459,audio_features,1JyDOIWo9GGj1GeksIefUo,spotify:track:1JyDOIWo9GGj1GeksIefUo,https://api.spotify.com/v1/tracks/1JyDOIWo9GGj1GeksIefUo,https://api.spotify.com/v1/audio-analysis/1JyDOIWo9GGj1GeksIefUo,310049.0,4.0
Inaccessible Worlds (ESRD14) [TRACK OF THE MONTH],1,2fAbEftLxYgpKvrei7BZ5J,0,2022,0,0.599,0.94,6.0,-3.75,1.0,0.0866,0.000568,0.867,0.125,0.384,126.007,audio_features,2fAbEftLxYgpKvrei7BZ5J,spotify:track:2fAbEftLxYgpKvrei7BZ5J,https://api.spotify.com/v1/tracks/2fAbEftLxYgpKvrei7BZ5J,https://api.spotify.com/v1/audio-analysis/2fAbEftLxYgpKvrei7BZ5J,428976.0,4.0
Много,3,17LOxESYjV83BtI2Pc9vMr,0,2022,1,0.678,0.85,6.0,-3.177,0.0,0.0453,0.0721,0.0,0.125,0.631,146.057,audio_features,17LOxESYjV83BtI2Pc9vMr,spotify:track:17LOxESYjV83BtI2Pc9vMr,https://api.spotify.com/v1/tracks/17LOxESYjV83BtI2Pc9vMr,https://api.spotify.com/v1/audio-analysis/17LOxESYjV83BtI2Pc9vMr,133151.0,4.0
"Guided Meditation: Monthly Salary Multiplier, Pt. 13",1,3wd0PbOWHgO3MA4BwRYGfl,0,2022,0,0.446,0.0446,7.0,-22.291,1.0,0.152,0.922,0.659,0.15,0.246,85.413,audio_features,3wd0PbOWHgO3MA4BwRYGfl,spotify:track:3wd0PbOWHgO3MA4BwRYGfl,https://api.spotify.com/v1/tracks/3wd0PbOWHgO3MA4BwRYGfl,https://api.spotify.com/v1/audio-analysis/3wd0PbOWHgO3MA4BwRYGfl,38000.0,3.0
"Guided Meditation: Monthly Salary Multiplier, Pt. 16",1,4ddmsCd48mIAIXhOHqhPEu,0,2022,0,0.529,0.0856,0.0,-22.286,1.0,0.117,0.854,0.565,0.123,0.506,84.506,audio_features,4ddmsCd48mIAIXhOHqhPEu,spotify:track:4ddmsCd48mIAIXhOHqhPEu,https://api.spotify.com/v1/tracks/4ddmsCd48mIAIXhOHqhPEu,https://api.spotify.com/v1/audio-analysis/4ddmsCd48mIAIXhOHqhPEu,33000.0,3.0
"Guided Meditation: Monthly Salary Multiplier, Pt. 12",1,3DSyuDrML7DJ6HFOb4MLfu,0,2022,0,0.455,0.05,7.0,-20.893,1.0,0.0807,0.826,0.0323,0.121,0.54,137.286,audio_features,3DSyuDrML7DJ6HFOb4MLfu,spotify:track:3DSyuDrML7DJ6HFOb4MLfu,https://api.spotify.com/v1/tracks/3DSyuDrML7DJ6HFOb4MLfu,https://api.spotify.com/v1/audio-analysis/3DSyuDrML7DJ6HFOb4MLfu,38000.0,1.0
