name,artist_count,track_id,popularity,year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
13 Months of Sunshine,1,16ISIfafspiGHjPH7EZmJe,31,2021,0,0.674,0.438,7,-11.318,1,0.0269,0.0961,0.905,0.0897,0.343,95.989,audio_features,16ISIfafspiGHjPH7EZmJe,spotify:track:16ISIfafspiGHjPH7EZmJe,https://api.spotify.com/v1/tracks/16ISIfafspiGHjPH7EZmJe,https://api.spotify.com/v1/audio-analysis/16ISIfafspiGHjPH7EZmJe,147880,4
last month,1,4WkcNI7O0r4zpRH3yAr1o4,25,2021,1,0.443,0.891,3,-1.732,1,0.0414,0.269,0.00205,0.11,0.351,84.995,audio_features,4WkcNI7O0r4zpRH3yAr1o4,spotify:track:4WkcNI7O0r4zpRH3yAr1o4,https://api.spotify.com/v1/tracks/4WkcNI7O0r4zpRH3yAr1o4,https://api.spotify.com/v1/audio-analysis/4WkcNI7O0r4zpRH3yAr1o4,172235,4
10 Months,1,3ugvgq1Wz1UkPUG6syNm4A,16,2021,0,0.717,0.172,4,-20.044,1,0.0508,0.986,0.941,0.0946,0.42,110.014,audio_features,3ugvgq1Wz1UkPUG6syNm4A,spotify:track:3ugvgq1Wz1UkPUG6syNm4A,https://api.spotify.com/v1/tracks/3ugvgq1Wz1UkPUG6syNm4A,https://api.spotify.com/v1/audio-analysis/3ugvgq1Wz1UkPUG6syNm4A,194727,4
Stalwart,1,2IA1tq3kl9WRbJd1yXu9ft,19,2021,0,0.594,0.882,9,-7.49,0,0.0639,0.00378,0.000145,0.067,0.374,140.063,audio_features,2IA1tq3kl9WRbJd1yXu9ft,spotify:track:2IA1tq3kl9WRbJd1yXu9ft,https://api.spotify.com/v1/tracks/2IA1tq3kl9WRbJd1yXu9ft,https://api.spotify.com/v1/audio-analysis/2IA1tq3kl9WRbJd1yXu9ft,158589,4
1st of the Month,6,3j11qzNtAmaCmXd9BJRSZG,5,2021,1,0.626,0.46,8,-8.64,1,0.14,0.0231,0,0.182,0.0816,77.892,audio_features,3j11qzNtAmaCmXd9BJRSZG,spotify:track:3j11qzNtAmaCmXd9BJRSZG,https://api.spotify.com/v1/tracks/3j11qzNtAmaCmXd9BJRSZG,https://api.spotify.com/v1/audio-analysis/3j11qzNtAmaCmXd9BJRSZG,197808,4
13 Months,1,4tcJ6dgHHNWushIni8JB72,5,2021,1,0.637,0.28,5,-10.599,1,0.0462,0.708,1.21e-06,0.101,0.218,90.026,audio_features,4tcJ6dgHHNWushIni8JB72,spotify:track:4tcJ6dgHHNWushIni8JB72,https://api.spotify.com/v1/tracks/4tcJ6dgHHNWushIni8JB72,https://api.spotify.com/v1/audio-analysis/4tcJ6dgHHNWushIni8JB72,164389,4
Himejoshi,1,0ul4IOaIzLDFn3zoAWKa2Y,16,2021,0,0.823,0.529,0,-11.703,1,0.117,0.0865,0,0.0441,0.362,120.027,audio_features,0ul4IOaIzLDFn3zoAWKa2Y,spotify:track:0ul4IOaIzLDFn3zoAWKa2Y,https://api.spotify.com/v1/tracks/0ul4IOaIzLDFn3zoAWKa2Y,https://api.spotify.com/v1/audio-analysis/0ul4IOaIzLDFn3zoAWKa2Y,154201,4
10PM Call,1,0HsHRBL7n0Y5TQ7HyZQhWh,6,2021,0,0.196,0.225,7,-16.895,0,0.0438,0.849,0.963,0.37,0.116,116.487,audio_features,0HsHRBL7n0Y5TQ7HyZQhWh,spotify:track:0HsHRBL7n0Y5TQ7HyZQhWh,https://api.spotify.com/v1/tracks/0HsHRBL7n0Y5TQ7HyZQhWh,https://api.spotify.com/v1/audio-analysis/0HsHRBL7n0Y5TQ7HyZQhWh,93701,4
Claim Me,1,3jfYFhqcDHmhiNzMM6BudU,15,2021,0,0.689,0.804,7,-8.443,1,0.0526,0.00416,0.00121,0.103,0.493,134.987,audio_features,3jfYFhqcDHmhiNzMM6BudU,spotify:track:3jfYFhqcDHmhiNzMM6BudU,https://api.spotify.com/v1/tracks/3jfYFhqcDHmhiNzMM6BudU,https://api.spotify.com/v1/audio-analysis/3jfYFhqcDHmhiNzMM6BudU,136202,4
Kitty,1,2P3IctUtekokaNgPf3YKEo,15,2021,0,0.453,0.731,7,-8.678,0,0.0499,0.0249,0,0.111,0.615,161.912,audio_features,2P3IctUtekokaNgPf3YKEo,spotify:track:2P3IctUtekokaNgPf3YKEo,https://api.spotify.com/v1/tracks/2P3IctUtekokaNgPf3YKEo,https://api.spotify.com/v1/audio-analysis/2P3IctUtekokaNgPf3YKEo,158328,4
